2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1521.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1684.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1856.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1759.59
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1699.25
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1633.44
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1780.34
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1775.66
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1516.69
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1490.31
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1371.95
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1504.10
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, total persons charged per 100000 population aged 12 years and over,v52126867,46.2.8,1642.99
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1544.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1497.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1486.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1571.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1666.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1417.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1420.00
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1343.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1530.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total adult charged,v52126859,46.2.9,1748.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1647.46
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1586.60
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1556.75
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1628.37
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1700.59
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1428.02
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1408.17
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1316.29
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Rate, adult charged per 100000 population aged 18 years and over,v52126860,46.2.10,1481.25
